stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
5,12:09,12:05,706,80,null,5,1320
10,12:18,12:05,706,80,null,5,1320
11,12:18,12:05,706,80,null,5,1320
39,12:14,12:05,706,80,null,5,1320
40,12:17,12:05,706,80,null,5,1320
52,12:20,12:05,706,80,null,5,1320
60,12:20,12:05,706,80,null,5,1320
61,12:10,12:05,706,80,null,5,1320
73,12:13,12:05,706,80,null,5,1320
77,12:12,12:05,706,80,null,5,1320
87,12:29,12:02,809,1,null,2,1320
91,12:16,12:05,706,80,null,5,1320
100,12:26,12:09,5,80,2,6,1320
104,12:40,12:09,298,80,4,7,1320
115,12:49,12:35,160,19,6,1,1320
121,12:23,12:06,581,3,4,6,1320
133,12:24,12:10,184,80,2,5,1320
146,12:18,12:06,581,3,4,6,1320
158,12:13,12:06,581,3,4,6,1320
160,12:09,12:08,178,10,null,4,1320
161,12:26,12:02,809,1,null,2,1320
167,12:42,12:06,581,3,4,6,1320
168,12:38,12:06,581,3,5,6,1320
170,12:21,12:06,581,3,4,6,1320
173,12:23,12:06,581,3,4,6,1320
174,12:45,12:14,133,10,5,6,1320
178,12:12,12:06,581,3,15,6,1320
184,12:10,12:09,488,80,null,6,1320
190,12:11,12:06,581,3,4,6,1320
208,12:36,12:15,5,80,6,6,1320
222,12:50,12:14,133,10,5,6,1320
234,12:27,12:09,5,80,2,6,1320
235,12:17,12:02,809,1,5,2,1320
248,12:23,12:02,809,1,null,2,1320
252,12:42,12:19,133,19,3,6,1320
256,12:55,12:15,5,80,13,6,900
265,12:20,12:09,5,80,4,6,1320
266,12:17,12:06,581,3,4,6,1320
274,12:38,12:06,581,3,5,6,1320
288,12:16,12:06,581,3,4,6,1320
298,12:15,12:11,532,80,80,7,1320
300,12:39,12:06,581,3,4,6,1320
313,12:10,12:02,809,1,null,2,1320
320,12:51,12:14,133,10,5,6,1320
327,12:48,12:35,160,19,6,1,1320
336,12:07,12:05,706,80,null,5,1320
353,12:22,12:06,581,3,4,6,1320
360,12:46,12:14,133,10,5,6,1320
375,12:41,12:06,581,3,4,6,1320
388,12:34,12:15,5,80,6,6,1320
391,12:33,12:06,581,3,4,6,1320
392,12:10,12:06,581,3,4,6,1320
398,12:36,12:15,5,80,6,6,1320
405,12:33,12:06,581,3,4,6,1320
406,12:38,12:15,5,80,6,6,1320
418,12:40,12:14,133,10,5,6,1320
428,12:30,12:02,809,1,null,2,1320
435,12:06,12:02,809,1,null,2,1320
438,12:11,12:09,573,80,null,5,1320
441,12:45,12:06,581,3,4,6,1320
445,12:44,12:06,581,3,4,6,1320
454,12:20,12:19,542,3,null,7,1320
455,12:05,12:02,809,1,null,2,1320
456,12:21,12:06,581,3,4,6,1320
459,12:15,12:06,581,3,4,6,1320
470,12:07,12:02,809,1,null,2,1320
483,12:50,12:35,160,19,6,1,1320
488,12:21,12:05,706,80,null,5,1320
499,12:32,12:06,581,3,4,6,1320
505,12:22,12:09,5,80,4,6,1320
506,12:59,12:19,133,19,6,6,180
512,12:39,12:14,133,10,5,6,1320
516,12:41,12:14,133,10,5,6,1320
519,12:37,12:06,581,3,4,6,1320
520,12:09,12:02,809,1,null,2,1320
530,12:18,12:06,581,3,4,6,1320
532,12:11,12:09,488,80,null,6,1320
533,12:46,12:35,160,19,6,1,1320
536,12:19,12:06,581,3,4,6,1320
542,12:19,12:17,178,3,null,4,1320
548,12:35,12:15,5,80,6,6,1320
549,12:23,12:09,5,80,4,6,1320
555,12:11,12:04,809,3,null,2,1320
561,12:51,12:35,160,19,6,1,1320
564,12:24,12:02,809,1,null,2,1320
567,12:34,12:27,809,10,null,2,1320
568,12:31,12:02,809,1,null,2,1320
573,12:09,12:09,298,80,null,7,1320
581,12:03,12:02,809,1,null,2,1320
583,12:47,12:35,160,19,6,1,1320
588,12:49,12:14,133,10,5,6,1320
590,12:31,12:06,581,3,4,6,1320
593,12:28,12:02,809,1,null,2,1320
597,12:35,12:27,809,10,null,2,1320
624,12:12,12:06,581,3,4,6,1320
668,12:25,12:02,809,1,null,2,1320
670,12:24,12:09,5,80,2,6,1320
688,12:58,12:19,133,19,6,6,360
692,12:21,12:19,178,10,null,4,1320
706,12:11,12:09,573,80,null,5,1320
710,12:08,12:02,809,1,null,2,1320
739,12:43,12:06,581,3,4,6,1320
741,12:04,12:02,809,1,null,2,1320
758,13:00,12:15,809,10,null,2,0
765,12:15,12:05,706,80,null,5,1320
768,12:40,12:14,133,10,5,6,1320
770,12:42,12:14,133,10,5,6,1320
782,12:32,12:06,581,3,4,6,1320
791,12:11,12:02,809,1,null,2,1320
803,12:24,12:09,5,80,4,6,1320
809,12:15,12:14,133,10,null,6,1320
837,12:44,12:06,581,3,4,6,1320
839,12:12,12:04,809,3,null,2,1320
840,12:43,12:14,133,10,5,6,1320
841,12:43,12:06,581,3,4,6,1320
843,12:36,12:06,581,3,4,6,1320
