stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,stop_des
5,12:09,12:05,706,80,null,1320,W DAYTON & N ORCHARD (EB)
10,12:12,12:02,809,1,80,1320,LANGDON & N PARK (WB)
11,12:12,12:02,809,1,80,1320,LANGDON: ARRIVALS ONLY (WB)
39,12:14,12:05,706,80,null,1320,N LAKE & W JOHNSON (NB)
40,12:11,12:02,809,1,80,1320,LANGDON & N LAKE (WB)
52,12:14,12:02,809,1,80,1320,OBSERVATORY & N CHARTER (WB)
60,12:14,12:02,809,1,80,1320,OBSERVATORY & BASCOM (WB)
61,12:10,12:05,706,80,null,1320,W DAYTON & N MILLS (EB)
73,12:13,12:05,706,80,null,1320,W DAYTON & E CAMPUS MALL (EB)
77,12:12,12:05,706,80,null,1320,W DAYTON & N PARK (EB)
87,12:29,12:02,809,1,null,1320,N BROOM & W GORHAM (NB)
91,12:10,12:02,809,1,80,1320,N LAKE & STATE (NB)
100,12:26,12:15,5,80,2,1320,UNIV AVE & N PARK (WB)
104,12:40,12:21,298,80,4,1320,N MILLS & W DAYTON (SB)
115,12:49,12:35,160,19,6,1320,N PARK & REGENT (NB)
121,12:23,12:06,581,3,4,1320,W BADGER & FIEDLER (EB)
133,12:24,12:10,184,80,2,1320,UNIV AVE & N BREESE (EB)
146,12:18,12:06,581,3,4,1320,FISH HATCHERY & MIDLAND (SB)
158,12:13,12:06,581,3,4,1320,S MILLS & VILAS (SB)
160,12:09,12:08,178,10,null,1320,UNIV AVE & N RANDALL (WB)
161,12:26,12:02,809,1,null,1320,S BROOM & W DOTY (NB)
167,12:42,12:06,581,3,4,1320,S MILLS & MOUND (NB)
170,12:21,12:06,581,3,4,1320,FISH HATCHERY & CATALPA (SB)
173,12:23,12:06,581,3,4,1320,W BADGER & CYPRESS (EB)
174,12:45,12:19,133,19,5,1320,S PARK & FISH HATCHERY (SB)
178,12:12,12:06,581,3,15,1320,UNIV AVE & N ORCHARD (WB)
184,12:10,12:09,488,80,null,1320,LINDEN & HENRY MALL (WB)
190,12:11,12:06,581,3,4,1320,N MILLS & REGENT (SB)
208,12:36,12:27,5,80,6,1320,REGENT & N ORCHARD (WB)
222,12:50,12:19,133,19,5,1320,FISHER & BRAM (SB)
234,12:27,12:15,5,80,2,1320,UNIV AVE & N MILLS (WB)
235,12:17,12:02,809,1,5,1320,WEST WASH & S HENRY (EB)
248,12:23,12:02,809,1,null,1320,W WILSON & S CARROLL (WB)
252,12:45,12:25,809,15,null,1320,STATE & W GORHAM (WB)
256,12:55,12:27,5,80,13,900,N MILLS & UNIV AVE (SB)
265,12:20,12:09,5,80,4,1320,STATE & N LAKE (EB)
266,12:17,12:06,581,3,4,1320,FISH HATCHERY & S PARK (SB)
288,12:16,12:06,581,3,4,1320,S PARK & ERIN (SB)
298,12:15,12:11,532,80,80,1320,BABCOCK & LINDEN (SB)
300,12:39,12:06,581,3,4,1320,ERIN & S MILLS (WB)
313,12:10,12:02,809,1,null,1320,W WILSON & S BASSETT (EB)
320,12:51,12:19,133,19,5,1320,FISHER & DANE (SB)
327,12:48,12:35,160,19,6,1320,REGENT & S MILLS (EB)
336,12:07,12:05,706,80,null,1320,N RANDALL & ENGINEERING (SB)
353,12:22,12:06,581,3,4,1320,W BADGER & FISH HATCHERY (EB)
360,12:46,12:19,133,19,5,1320,S PARK & W OLIN (SB)
375,12:41,12:06,581,3,4,1320,S MILLS & VILAS (NB)
