stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,initial_walk_time,radius_ft
5,12:27,12:25,336,80,null,6,1320
10,12:36,12:27,5,80,null,16,1320
11,12:36,12:27,5,80,null,16,1320
39,12:32,12:27,5,80,null,19,1320
40,12:35,12:27,5,80,null,19,1320
52,12:38,12:27,5,80,null,9,1320
60,12:38,12:27,5,80,null,11,1320
61,12:28,12:27,5,80,null,10,1320
73,12:31,12:27,5,80,null,17,1320
77,12:30,12:27,5,80,null,14,1320
87,12:46,12:21,581,19,null,26,1320
91,12:34,12:27,5,80,null,19,1320
100,12:26,12:15,5,80,2,13,1320
104,12:40,12:23,438,80,4,9,1320
107,13:07,12:21,581,19,5,43,0
113,13:12,12:21,581,19,5,25,0
115,12:49,12:36,692,19,6,17,1320
121,12:23,12:06,581,3,4,72,0
133,12:44,12:36,692,19,10,6,1320
146,12:18,12:06,581,3,4,42,1133
158,12:13,12:06,581,3,4,23,1320
160,12:12,12:12,178,15,null,1,1320
161,12:44,12:21,581,19,null,34,561
167,12:42,12:06,581,3,4,19,1056
168,13:08,12:27,581,2,5,34,0
170,12:21,12:06,581,3,4,65,0
171,13:03,12:21,581,19,5,67,0
173,12:23,12:06,581,3,4,73,0
174,12:45,12:21,581,19,5,38,0
178,12:12,12:06,581,3,15,4,1320
180,13:04,12:27,5,80,6,14,1320
181,13:06,12:21,581,19,5,48,0
184,12:40,12:39,488,80,null,5,1320
190,12:11,12:06,581,3,4,14,1320
197,13:04,12:21,581,19,5,58,0
208,12:36,12:27,5,80,6,12,1320
222,12:50,12:21,581,19,5,62,0
225,13:13,12:21,581,19,5,25,0
234,12:27,12:15,5,80,2,9,1320
235,12:17,12:02,809,1,5,34,1320
248,12:41,12:21,581,19,null,41,0
251,13:10,12:21,581,19,5,30,0
252,12:45,12:26,581,15,null,28,1320
256,12:55,12:27,5,80,13,8,1320
265,12:25,12:15,5,80,6,20,1320
266,12:17,12:06,581,3,4,38,1320
274,13:08,12:27,581,2,5,31,0
288,12:16,12:06,581,3,4,31,1320
298,12:45,12:41,532,80,80,7,1320
300,12:39,12:06,581,3,4,28,0
313,12:28,12:21,581,19,null,35,1320
320,12:51,12:21,581,19,5,67,0
327,12:48,12:36,692,19,6,15,1320
336,12:25,12:23,438,80,null,3,1320
349,13:01,12:36,692,19,3,12,1320
353,12:22,12:06,581,3,4,71,0
360,12:46,12:21,581,19,5,42,0
375,12:41,12:06,581,3,4,22,654
388,12:34,12:27,5,80,6,15,1320
391,12:33,12:06,581,3,4,59,0
392,12:10,12:06,581,3,4,11,1320
398,12:36,12:27,5,80,6,11,1320
405,12:33,12:06,581,3,4,64,0
406,12:38,12:27,5,80,6,13,1320
418,12:40,12:21,581,19,5,27,1320
428,12:47,12:26,581,15,null,24,1320
435,12:19,12:17,581,10,null,19,1320
438,12:23,12:21,298,80,null,7,1320
441,12:45,12:06,581,3,4,9,1320
445,12:44,12:06,581,3,4,11,1320
454,12:20,12:19,542,3,null,9,1320
455,12:23,12:21,581,19,null,15,1320
456,12:21,12:06,581,3,4,59,0
459,12:15,12:06,581,3,4,29,1320
469,13:14,12:21,581,19,5,26,0
470,12:21,12:17,581,10,null,25,1320
475,13:02,12:21,581,19,5,68,0
480,13:02,12:27,581,2,10,28,0
483,12:50,12:36,692,19,6,16,1320
488,12:39,12:27,5,80,null,6,1320
499,12:32,12:06,581,3,4,70,0
505,12:26,12:15,5,80,6,24,1320
506,12:59,12:21,581,19,6,22,140
512,12:39,12:21,581,19,5,29,1320
516,12:41,12:21,581,19,5,25,1320
519,12:37,12:06,581,3,4,36,0
520,12:23,12:17,581,10,null,32,1320
530,12:18,12:06,581,3,4,46,434
532,12:41,12:40,184,80,null,7,1320
533,12:46,12:36,692,19,6,13,1320
536,12:19,12:06,581,3,4,49,0
538,13:03,12:27,5,80,6,13,1320
542,12:19,12:18,160,3,null,7,1320
548,12:35,12:27,5,80,6,14,1320
549,12:27,12:15,5,80,6,27,1320
555,13:01,12:57,581,2,null,25,1320
561,12:51,12:36,692,19,6,15,1320
564,12:42,12:21,581,19,null,38,193
567,12:34,12:29,581,10,null,33,1320
568,12:48,12:26,581,15,null,20,1320
573,12:21,12:21,298,80,null,5,1320
581,12:03,12:02,809,1,null,6,1320
583,12:47,12:36,692,19,6,12,1320
588,12:49,12:21,581,19,5,58,0
590,12:31,12:06,581,3,4,73,0
593,12:46,12:21,581,19,null,28,1320
597,12:35,12:29,581,10,null,37,1320
624,12:12,12:06,581,3,4,18,1320
633,13:11,12:21,581,19,5,25,0
643,13:03,12:21,581,19,5,62,0
668,12:43,12:21,581,19,null,36,373
670,12:31,12:15,5,80,19,18,1320
688,12:58,12:21,581,19,6,25,0
692,12:36,12:35,160,19,null,7,1320
706,12:23,12:23,438,80,null,5,1320
710,12:22,12:17,581,10,null,30,1320
739,12:43,12:06,581,3,4,13,1320
741,12:57,12:57,581,2,null,9,1320
745,13:05,12:21,581,19,5,54,0
751,13:02,12:36,692,19,3,9,1320
758,13:00,12:27,581,2,10,36,0
765,12:33,12:27,5,80,null,19,1320
768,12:40,12:21,581,19,5,26,1320
770,12:42,12:21,581,19,5,24,1320
782,12:32,12:06,581,3,4,71,0
791,12:30,12:21,581,19,null,38,1320
803,12:28,12:15,5,80,6,29,1320
809,12:20,12:19,133,19,null,2,1320
837,12:44,12:06,581,3,4,10,1320
839,12:33,12:29,581,10,null,28,1320
840,12:43,12:21,581,19,5,25,1320
841,12:43,12:06,581,3,4,15,1320
843,12:36,12:06,581,3,4,47,0
845,12:35,12:06,581,3,4,51,0
866,12:37,12:27,5,80,6,11,1320
883,13:03,12:57,581,2,null,32,1320
890,12:47,12:21,581,19,5,48,0
898,12:44,12:26,581,15,null,30,1320
901,12:48,12:21,581,19,5,55,0
904,12:38,12:06,581,3,4,30,0
906,12:52,12:21,581,19,5,68,0
915,12:36,12:06,581,3,4,41,0
916,12:20,12:19,542,3,null,13,1320
918,13:01,12:27,581,2,10,32,0
926,13:00,12:21,581,19,6,19,537
941,13:00,12:57,581,2,null,22,1320
962,12:35,12:27,5,80,6,17,1320
965,12:44,12:21,581,19,null,32,1043
967,13:15,12:21,581,19,5,28,0
