stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,lat,lon
5,07:06,06:57,133,19,80,1320,43.070947,-89.406982
10,07:14,07:06,5,80,80,1320,43.075933,-89.400154
11,07:14,07:06,5,80,80,1320,43.075933,-89.399932
39,07:10,07:06,5,80,80,1320,43.071895,-89.397341
40,07:13,07:06,5,80,80,1320,43.075914,-89.397697
47,07:19,07:06,5,80,27,1320,43.074636,-89.412598
52,07:16,07:06,5,80,80,1320,43.076131,-89.40566
54,07:42,07:06,5,80,27,1320,43.06947,-89.403872
60,07:15,07:06,5,80,80,1320,43.075996,-89.40366
61,07:07,07:06,5,80,null,1320,43.070893,-89.403698
73,07:09,07:06,5,80,80,1320,43.07082,-89.39865
77,07:08,07:06,5,80,80,1320,43.070857,-89.401119
87,07:21,06:57,133,19,10,1320,43.07415,-89.392328
91,07:12,07:06,5,80,80,1320,43.074321,-89.397241
100,07:17,07:06,5,80,28,1320,43.073399,-89.401365
104,07:38,07:19,47,27,4,1320,43.071144,-89.404229
107,07:38,06:57,133,19,4,1320,43.054383,-89.396533
113,07:44,06:57,133,19,4,1080,43.064733,-89.397985
115,07:04,06:55,160,58,6,1320,43.067983,-89.400724
121,07:20,06:57,133,19,4,1320,43.038466,-89.401117
127,07:18,06:58,581,56,13,1320,43.043951,-89.385666
133,07:09,06:56,184,38,2,1320,43.073275,-89.413154
144,07:21,06:58,581,56,13,1320,43.038545,-89.390641
146,07:15,06:57,133,19,4,1320,43.053981,-89.399186
147,07:09,06:58,581,56,13,1320,43.053872,-89.391782
153,07:11,06:58,581,56,13,1320,43.052132,-89.38075
154,07:19,06:58,581,56,13,1320,43.040378,-89.38436
158,07:11,06:57,133,19,4,1320,43.062871,-89.404194
160,06:55,06:54,178,12,27,1320,43.073481,-89.409413
161,07:18,06:57,133,19,10,1320,43.070146,-89.387071
162,07:05,06:58,581,56,13,1320,43.065091,-89.400997
166,07:14,06:58,581,56,13,1320,43.045854,-89.375546
168,07:07,06:56,581,2,5,1320,43.072787,-89.38707
170,07:19,06:57,133,19,4,1320,43.041645,-89.404114
171,07:33,06:57,133,19,4,1320,43.042923,-89.39175
173,07:21,06:57,133,19,4,1320,43.03843,-89.397946
174,07:07,06:58,581,56,13,1320,43.056451,-89.398716
178,07:03,06:58,581,56,19,1320,43.073427,-89.407056
180,07:03,06:57,133,19,6,1320,43.071098,-89.401081
181,07:37,06:57,133,19,4,1320,43.052252,-89.394806
184,07:04,07:03,488,44,28,1320,43.075254,-89.410413
190,07:09,06:57,133,19,4,1320,43.067849,-89.404205
192,07:44,07:09,298,11,13,1080,43.054087,-89.391967
197,07:35,06:57,133,19,4,1320,43.047739,-89.392673
203,07:38,06:58,581,56,13,1320,43.043214,-89.376979
208,07:05,06:57,133,19,6,1320,43.067849,-89.407131
217,07:50,07:09,298,11,13,0,43.063668,-89.400528
222,07:18,06:57,133,19,5,1320,43.045474,-89.391946
225,07:44,06:57,133,19,4,1080,43.065842,-89.396442
234,07:17,07:06,5,80,28,1320,43.073427,-89.403883
235,07:16,06:57,133,19,5,1320,43.072456,-89.387144
243,07:40,06:58,581,56,13,1320,43.047242,-89.374681
248,07:15,06:57,133,19,11,1320,43.071891,-89.382453
251,07:41,06:57,133,19,4,1320,43.060167,-89.40053
252,07:22,07:03,133,3,71,1320,43.07491,-89.391303
256,07:32,07:06,5,80,13,1320,43.073051,-89.404241
265,07:09,06:57,133,19,6,1320,43.074786,-89.396908
266,07:14,06:57,133,19,4,1320,43.056496,-89.399124
274,07:08,06:56,581,2,5,1320,43.071248,-89.389243
287,07:31,06:58,581,56,13,1320,43.038339,-89.390839
288,07:07,06:58,581,56,13,1320,43.059621,-89.400999
289,07:09,06:58,581,56,13,1320,43.053844,-89.389869
298,07:09,06:56,160,2,11,1320,43.07529,-89.412894
313,07:04,06:57,133,19,10,1320,43.068418,-89.386949
320,07:19,06:57,133,19,5,1320,43.04312,-89.392033
327,07:03,06:55,160,58,6,1320,43.067598,-89.403675
336,07:05,06:56,184,38,80,1320,43.072028,-89.409136
346,07:43,07:09,298,11,13,1260,43.053996,-89.387437
349,07:16,07:04,692,19,58,1320,43.068092,-89.413759
353,07:20,06:57,133,19,4,1320,43.038494,-89.403362
357,07:48,07:03,488,44,44,360,43.053826,-89.390103
360,07:14,06:57,133,19,5,1320,43.054589,-89.397212
367,07:10,06:58,581,56,13,1320,43.053682,-89.386709
388,07:03,06:57,133,19,6,1320,43.069451,-89.401168
392,07:08,06:57,133,19,4,1320,43.069711,-89.40423
398,07:05,06:57,133,19,6,1320,43.067877,-89.409353
406,07:06,06:57,133,19,6,1320,43.067931,-89.414278
410,07:14,06:58,581,56,13,1320,43.042874,-89.377547
418,07:09,06:57,133,19,5,1320,43.069002,-89.392429
424,07:42,07:09,298,11,13,1320,43.053153,-89.38376
428,07:21,06:57,133,19,71,1320,43.073317,-89.394044
433,07:46,07:03,488,44,44,720,43.049727,-89.392573
435,07:00,06:56,581,2,15,1320,43.071921,-89.397094
438,07:02,06:56,184,38,80,1320,43.074985,-89.406401
441,07:14,07:06,5,80,27,1320,43.072003,-89.403945
445,07:12,07:06,5,80,27,1320,43.069899,-89.403921
448,07:19,06:58,581,56,13,1320,43.042133,-89.384346
454,06:57,06:55,160,58,3,1320,43.070438,-89.414055
455,06:58,06:56,581,2,15,1320,43.071967,-89.400106
456,07:18,06:57,133,19,4,1320,43.044304,-89.404113
459,07:12,06:57,133,19,4,1320,43.059774,-89.403665
462,07:20,06:58,581,56,13,1320,43.038517,-89.388457
465,07:10,06:58,581,56,13,1320,43.053055,-89.384217
469,07:46,06:57,133,19,4,720,43.067543,-89.394121
470,07:02,06:57,133,19,10,1320,43.071625,-89.39286
473,07:47,06:57,133,19,4,540,43.070228,-89.390293
475,07:32,06:57,133,19,4,1320,43.041625,-89.393786
483,07:04,06:55,160,58,6,1320,43.069254,-89.400712
488,07:03,06:58,581,56,44,1320,43.0752,-89.407339
490,07:12,06:56,160,2,11,1320,43.072299,-89.405883
492,07:28,07:06,5,80,11,1320,43.055713,-89.381932
505,07:10,06:57,133,19,6,1320,43.074732,-89.393723
512,07:08,06:57,133,19,5,1320,43.069986,-89.391021
516,07:10,06:57,133,19,5,1320,43.066711,-89.395874
519,07:40,06:57,133,19,4,1320,43.057212,-89.398803
520,07:03,06:57,133,19,10,1320,43.068634,-89.388936
522,07:42,07:09,298,11,13,1320,43.052562,-89.381527
530,07:16,06:57,133,19,4,1320,43.051913,-89.399261
532,06:57,06:56,184,38,28,1320,43.075254,-89.412549
533,07:17,07:03,160,19,6,1320,43.067725,-89.413451
